id,pickup datetime,number
789,2020-01-01 0:00:55,1
1541,2020-01-01 0:01:08,1
1464,2020-01-01 0:01:42,1
592,2020-01-01 0:01:46,1
702,2020-01-01 0:01:46,1
1740,2020-01-01 0:02:05,1
203,2020-01-01 0:02:06,1
1758,2020-01-01 0:02:20,0
114,2020-01-01 0:03:50,1
417,2020-01-01 0:03:53,1
422,2020-01-01 0:03:56,1
475,2020-01-01 0:04:14,1
1120,2020-01-01 0:04:17,1
152,2020-01-01 0:04:31,1
459,2020-01-01 0:04:34,1
604,2020-01-01 0:04:57,1
1095,2020-01-01 0:05:37,2
2077,2020-01-01 0:05:57,1
579,2020-01-01 0:06:00,1
318,2020-01-01 0:06:38,1
540,2020-01-01 0:06:56,0
1222,2020-01-01 0:06:56,1
120,2020-01-01 0:07:06,2
826,2020-01-01 0:07:09,1
1364,2020-01-01 0:07:34,1
116,2020-01-01 0:07:36,1
658,2020-01-01 0:08:01,1
706,2020-01-01 0:08:13,1
171,2020-01-01 0:08:29,1
210,2020-01-01 0:08:36,2
120,2020-01-01 0:08:47,1
1054,2020-01-01 0:08:51,1
366,2020-01-01 0:08:53,0
1327,2020-01-01 0:08:59,1
298,2020-01-01 0:09:00,2
639,2020-01-01 0:09:29,1
1640,2020-01-01 0:09:38,1
2277,2020-01-01 0:09:45,1
1211,2020-01-01 0:09:55,1
2637,2020-01-01 0:10:03,1
205,2020-01-01 0:10:11,1
2607,2020-01-01 0:10:24,1
292,2020-01-01 0:11:00,1
307,2020-01-01 0:11:07,1
118,2020-01-01 0:11:14,2
2793,2020-01-01 0:11:18,0
140,2020-01-01 0:11:26,1
358,2020-01-01 0:11:28,1
793,2020-01-01 0:11:39,1
1115,2020-01-01 0:11:43,1
733,2020-01-01 0:11:47,1
1182,2020-01-01 0:12:22,2
595,2020-01-01 0:12:33,1
780,2020-01-01 0:12:50,2
771,2020-01-01 0:12:55,1
396,2020-01-01 0:12:58,1
401,2020-01-01 0:13:38,0
759,2020-01-01 0:14:18,1
155,2020-01-01 0:14:22,1
449,2020-01-01 0:14:23,1
693,2020-01-01 0:14:25,2
236,2020-01-01 0:14:34,1
319,2020-01-01 0:14:42,1
585,2020-01-01 0:14:42,2
207,2020-01-01 0:14:50,1
848,2020-01-01 0:14:52,1
863,2020-01-01 0:14:58,1
648,2020-01-01 0:15:02,1
996,2020-01-01 0:15:03,1
1001,2020-01-01 0:15:03,0
1545,2020-01-01 0:15:10,1
218,2020-01-01 0:15:12,1
1530,2020-01-01 0:15:22,2
692,2020-01-01 0:15:27,2
2585,2020-01-01 0:15:45,1
339,2020-01-01 0:15:49,1
768,2020-01-01 0:15:52,2
1010,2020-01-01 0:15:54,1
1280,2020-01-01 0:15:54,1
1549,2020-01-01 0:15:56,1
568,2020-01-01 0:16:02,1
1246,2020-01-01 0:16:19,0
771,2020-01-01 0:16:24,2
2634,2020-01-01 0:16:40,1
182,2020-01-01 0:16:51,1
241,2020-01-01 0:17:05,1
395,2020-01-01 0:18:03,1
664,2020-01-01 0:18:06,1
211,2020-01-01 0:18:10,1
797,2020-01-01 0:18:11,2
409,2020-01-01 0:18:16,1
166,2020-01-01 0:18:18,1
208,2020-01-01 0:18:54,1
1965,2020-01-01 0:18:55,1
551,2020-01-01 0:18:56,0
693,2020-01-01 0:19:01,1
786,2020-01-01 0:19:10,1
2598,2020-01-01 0:19:18,1
789,2020-01-01 0:19:31,1
526,2020-01-01 0:19:51,1
1385,2020-01-01 0:20:10,0
1404,2020-01-01 0:20:15,2
211,2020-01-01 0:20:21,1
541,2020-01-01 0:20:24,1
323,2020-01-01 0:20:25,1
352,2020-01-01 0:20:32,2
844,2020-01-01 0:20:36,1
443,2020-01-01 0:20:46,1
334,2020-01-01 0:20:48,2
553,2020-01-01 0:20:51,2
816,2020-01-01 0:20:55,1
432,2020-01-01 0:20:58,2
1353,2020-01-01 0:21:00,1
282,2020-01-01 0:21:07,1
498,2020-01-01 0:21:19,2
625,2020-01-01 0:21:21,2
